App,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
S Pen Keeper,"August 13, 2018",323k,"50,000+",2.1.1.033,4.0.3 and up,Everyone,Digital Purchases,$0.99 per item,View details,Flag as inappropriate,FuzeBits Inc.,Visit website,
SH Script Runner,"December 11, 2019",4.6M,"100,000+",1.10,4.0 and up,Everyone,,,View details,Flag as inappropriate,Adam Ioannides,Visit website,
Shopping List S PRO,"June 10, 2019",3.1M,100+,2.19,4.1 and up,Everyone,,,View details,Flag as inappropriate,OSHEMB dev.,dev@timetabata.com,
Tumblr,"April 9, 2020",25M,"100,000,000+",15.7.0.01,5.0 and up,Mature 17+,Users Interact,,View details,Flag as inappropriate,"Tumblr, Inc",Visit website,
Tinder,"April 9, 2020",33M,"100,000,000+",11.12.0,5.0 and up,Mature 17+,"Users Interact, Shares Location, Digital Purchases",$0.99 - $299.99 per item,View details,Flag as inappropriate,Tinder,Visit website,
Twitch: Livestream Multiplayer Games & Esports,"April 8, 2020",Varies with device,"50,000,000+",Varies with device,5.0 and up,Teen,Users Interact,$1.99 - $299.50 per item,View details,Flag as inappropriate,"Twitch Interactive, Inc.",Visit website,
T-Mobile,"April 1, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,T-Mobile USA,Visit website,
Dino T-Rex,"April 3, 2020",3.3M,"10,000,000+",1.48,4.1 and up,Everyone,,,View details,Flag as inappropriate,Interesting games,Visit website,
Telegram,"March 30, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Mature 17+,Users Interact,,View details,Flag as inappropriate,Telegram FZ-LLC,Visit website,
myAT&T,"April 9, 2020",53M,"50,000,000+",6.9.3,7.0 and up,Everyone,,,View details,Flag as inappropriate,"AT&T Services, Inc.",Visit website,
AT&T U-verse,"February 5, 2020",62M,"1,000,000+",6.3.1.0304,4.4 and up,Everyone,,,View details,Flag as inappropriate,"AT&T Services, Inc.",Visit website,
AT&T Messages for Tablet,"March 16, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,Everyone,Users Interact,,View details,Flag as inappropriate,"AT&T Services, Inc.",Visit website,
T-Mobile DIGITS,"February 24, 2020",39M,"500,000+",2.3.5,6.0 and up,Everyone,"Users Interact, Shares Location",,View details,Flag as inappropriate,T-Mobile USA,Visit website,
AT&T Digital Life,"December 11, 2019",Varies with device,"1,000,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,"AT&T Services, Inc.",Visit website,
T-Mobile Tuesdays,"April 8, 2020",24M,"10,000,000+",5.12.0,5.0 and up,Everyone,,,View details,Flag as inappropriate,T-Mobile USA,Visit website,
AT&T Mobile Transfer,"April 8, 2020",26M,"10,000,000+",3.13.0,6.0 and up,Everyone,,,View details,Flag as inappropriate,"AT&T Services, Inc.",Visit website,
T-Mobile Visual Voicemail,"December 30, 2019",5.8M,"50,000,000+",5.30.1.2.82113,4.0 and up,Everyone,,,View details,Flag as inappropriate,T-Mobile USA,Visit website,
I Can't Wake Up!,"November 13, 2019",3.8M,"10,000+",3.6.1,4.0 and up,Everyone,,,View details,Flag as inappropriate,Kog Creations,Visit website,
T-Mobile® FamilyMode™,"March 27, 2020",44M,"100,000+",2.10.0.4,6.0 and up,Everyone,Shares Location,,View details,Flag as inappropriate,T-Mobile USA,Visit website,
Portable Wi-Fi hotspot,"September 11, 2018",2.3M,"10,000,000+",1.5.2.4-24,4.0 and up,Everyone,"Users Interact, Digital Purchases",$0.99 per item,View details,Flag as inappropriate,CORE TECHNOLOGY,Visit website,
Showtime Anytime,"March 10, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Teen,,,View details,Flag as inappropriate,Showtime Networks Inc.,Visit website,
AT&T Call Protect,"March 6, 2020",15M,"10,000,000+",2.8.3-840,5.0 and up,Everyone,Shares Info,,View details,Flag as inappropriate,"AT&T Services, Inc.",Visit website,
Don't Starve: Pocket Edition,"March 12, 2020",11M,"500,000+",1.17,5.0 and up,Teen,,,View details,Flag as inappropriate,Klei Entertainment Inc.,Visit website,
AT&T DriveMode,"December 16, 2019",9.7M,"50,000,000+",1.0.5.1,5.0 and up,Everyone,,,View details,Flag as inappropriate,"AT&T Services, Inc.",Visit website,
The T Factor,"September 26, 2017",13M,"1,000+",8.8,4.2 and up,Everyone,Users Interact,,View details,Flag as inappropriate,AIDAIO Software Solutions Pvt Ltd,Visit website,
Please Don't Touch Anything 3D,"December 7, 2016",20M,"10,000+",1.1,4.4 and up,Teen,,,View details,Flag as inappropriate,ForwardXP,Visit website,
Don't Panic with Andrew J.,"August 25, 2015",Varies with device,"5,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,Universal Relaxation,Visit website,
Don't touch my phone,"October 19, 2016",2.3M,"5,000,000+",30,2.3 and up,Everyone,,,View details,Flag as inappropriate,SofTous,softous@gmail.com,
Don't Starve: Shipwrecked,"November 22, 2019",6.6M,"50,000+",1.27,5.0 and up,Teen,,,View details,Flag as inappropriate,Klei Entertainment Inc.,Visit website,
Jurassic Life: T Rex Simulator,"June 25, 2019",Varies with device,"10,000+",Varies with device,Varies with device,Everyone 10+,,,View details,Flag as inappropriate,Gluten Free Games LLC,Visit website,
T-Mobile SyncUP DRIVE,"April 7, 2020",35M,"500,000+",3.8.6.21 ,5.0 and up,Everyone,Shares Info,,View details,Flag as inappropriate,Mojio Inc.,Visit website,
T-shirt design - Snaptee,"July 17, 2019",51M,"1,000,000+",1.1.7.3,4.1 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Snaptee Limited,Visit website,
MBTA GPS - Track the T,"February 23, 2018",5.6M,"5,000+",5.1.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,Alex Scherb,Visit website,
T. Rowe Price Personal® App,"February 19, 2020",7.4M,"100,000+",4.5,6.0 and up,Everyone,,,View details,Flag as inappropriate,T. Rowe Price,Visit website,
Můj T-Mobile Business,"October 25, 2019",6.0M,"1,000,000+",3.2.9,4.1 and up,Everyone,,,View details,Flag as inappropriate,"T-Mobile Czech Republic, a.s.",Visit website,
U by BB&T,"January 21, 2020",27M,"1,000,000+",2.3.0,6.0 and up,Everyone,Shares Info,,View details,Flag as inappropriate,BBT Mobile,Visit website,
"U - Webinars, Meetings & Messenger","April 9, 2020",47M,"500,000+",5.6.1,4.4 and up,Everyone,"Users Interact, Shares Info, Shares Location, Digital Purchases",$4.99 - $34.99 per item,View details,Flag as inappropriate,CyberLink.com,Visit website,
Hollywood U: Rising Stars,"April 21, 2017",74M,"5,000,000+",3.8.0,4.0.3 and up,Teen,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Pixelberry,Visit website,
Ustream,"July 11, 2018",7.3M,"10,000,000+",3.2.2,4.1 and up,Mature 17+,Users Interact,,View details,Flag as inappropriate,Ustream an IBM Company,Visit website,
Uber,"April 9, 2020",Varies with device,"500,000,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,"Uber Technologies, Inc.",Visit website,
ENCHANT U,"November 8, 2012",11M,"500,000+",1.2.2,2.1 and up,Everyone,Digital Purchases,$1.99 - $99.99 per item,View details,Flag as inappropriate,Griptonite Games Inc,Visit website,
/u/app,"September 13, 2018",53M,"10,000+",4.2.5,4.1 and up,Mature 17+,Users Interact,,View details,Flag as inappropriate,prefetcher,prefbaka@gmail.com,
Kicker U,"June 13, 2018",37M,"5,000+",3.04,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Stillwater Designs,Visit website,
U-Haul,"March 23, 2020",38M,"500,000+",2.3.9,4.4 and up,Everyone,,,View details,Flag as inappropriate,U-Haul International,Visit website,
Vienna U-Bahn,"November 4, 2018",2.5M,"50,000+",1.26.0,4.0 and up,Everyone,,,View details,Flag as inappropriate,Fair Enough Software,fairenoughsoftware@gmail.com,
Kicker U Lite,"September 27, 2013",26M,"50,000+",2.0.0,2.1 and up,Everyone,,,View details,Flag as inappropriate,Stillwater Designs,Visit website,
U-Scan,"September 6, 2018",41M,"50,000+",1.2.8 (100),4.0.3 and up,Everyone,Digital Purchases,$1.99 - $39.99 per item,View details,Flag as inappropriate,Bosch Automotive Service Solutions LLC,Visit website,
Channel U,"October 1, 2019",14M,"5,000+",1.5,4.1 and up,Everyone,,,View details,Flag as inappropriate,Chipsy Information Technology Services,Chipsyinfotech@gmail.com,
Wii U Simulator,"August 13, 2018",55M,"500,000+",1.2.0,5.0 and up,Everyone 10+,,,View details,Flag as inappropriate,JJBread,Visit website,
U Camera : Phone 6s OS 9 style,"August 28, 2017",3.0M,"1,000,000+",1.0.3,4.0 and up,Everyone,,,View details,Flag as inappropriate,VisionFunny,visionfunny@gmail.com,
U get - Wireless Speed Test,"February 7, 2020",2.5M,"5,000+",1.3.20,4.0 and up,Everyone,,,View details,Flag as inappropriate,umlaut insight GmbH,Visit website,
U Guard,"May 7, 2019",10M,"10,000+",1.2.0.9,4.1 and up,Everyone,,,View details,Flag as inappropriate,Uniden Corporation,Visit website,
DRC Sim - Wii U Gamepad,"June 25, 2017",4.0M,"100,000+",2.0,2.3 and up,Everyone,,,View details,Flag as inappropriate,Frozen Iron Software LLC,Visit website,
[verify-U] VideoIdent,"March 8, 2019",14M,"10,000+",2.5.0,5.0 and up,Everyone,,,View details,Flag as inappropriate,verify-u GmbH,Visit website,
What U See,"October 23, 2018",22M,"100,000+",2.4.2,4.1 and up,Teen,"Users Interact, Shares Location",$0.99 per item,View details,Flag as inappropriate,What U See,Visit website,
U+Box,"November 28, 2019",19M,"10,000,000+",4.2.30,5.0 and up,Everyone,,,View details,Flag as inappropriate,LG유플러스(LG Uplus Corporation),Visit website,
Waiting For U Launcher Theme,"July 23, 2016",4.8M,"500,000+",2.0.40,2.3 and up,Everyone,,,View details,Flag as inappropriate,ZT.art,yuxin.cpp@gmail.com,
U of I Community Credit Union,"October 31, 2019",9.3M,"10,000+",4.36.42,5.0 and up,Everyone,,,View details,Flag as inappropriate,U of I Community Credit Union,Visit website,
U-Craft Mobile,"September 11, 2017",30M,"100,000+",1.0.14,4.0.3 and up,Everyone,Digital Purchases,$4.49 - $99.99 per item,View details,Flag as inappropriate,Yellow Egg Inc.,Visit website,
Alarmy (Sleep If U Can) - Pro,"February 10, 2020",42M,"10,000+",4.16.2,4.4 and up,Everyone,,,View details,Flag as inappropriate,Alarm Clock Alarmy,Visit website,
U-Disco,"February 5, 2014",196k,"100,000+",1.7.3,2.3 and up,Everyone,,,View details,Flag as inappropriate,Rundgong,Visit website,
SAY-U,"July 13, 2018",Varies with device,"100,000+",Varies with device,4.1 and up,Teen,Users Interact,$2.99 - $22.99 per item,View details,Flag as inappropriate,E8 Ink.,Visit website,
U-48 Submarine Commander Free,"October 7, 2017",3.8M,"500,000+",1.24,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,InvertBit,Visit website,
Berlin Subway – BVG U-Bahn & S-Bahn map and routes,"October 29, 2018",17M,"100,000+",2.1.0,5.0 and up,Everyone,Digital Purchases,$3.49 - $7.99 per item,View details,Flag as inappropriate,Mapway,Visit website,
Pocket U ASW,"May 21, 2019",28M,"10,000+",3.1.1,4.2 and up,Everyone,,,View details,Flag as inappropriate,"A. S. Watson & Company, Limited",Visit website,
VMate,"April 10, 2020",34M,"100,000,000+",2.62,4.1 and up,Teen,"Users Interact, Shares Location",$0.99 - $11.99 per item,View details,Flag as inappropriate,VMate Inc.,feedback@vmate.com,
Grand Theft Auto V: The Manual,"February 14, 2020",7.1M,"10,000,000+",5.0.18,4.4 and up,Teen,,,View details,Flag as inappropriate,Rockstar Games,Visit website,
V for Voodoo,"November 3, 2019",56M,"1,000,000+",3.0.3,5.0 and up,Teen,In-Game Purchases,$0.99 - $49.99 per item,View details,Flag as inappropriate,Ballena Bay 4iLab,Visit website,
Sin City Crime Simulator V - Gangster,"November 13, 2018",Varies with device,"500,000+",Varies with device,4.0.3 and up,Everyone 10+,Digital Purchases,$69.99 - $204.99 per item,View details,Flag as inappropriate,Limitless - Free Games,limitlessgamespvtltd@gmail.com,
Vimeo,"April 8, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Teen,"Users Interact, In-App Purchases",$0.99 - $83.99 per item,View details,Flag as inappropriate,Vimeo Inc,Visit website,
VLC for Android,"March 19, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,Videolabs,Visit website,
All Video Downloader,"November 27, 2019",Varies with device,"50,000,000+",Varies with device,Varies with device,Everyone,Unrestricted Internet,,View details,Flag as inappropriate,snowwhiteapps,Visit website,
V-CUBE Seminar Mobile,"April 17, 2018",30M,"100,000+",1.23.0,4.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,"V-cube, Inc.",Visit website,
V.360° Camera,"September 11, 2015",28M,"100,000+",1.1.6,4.4 and up,Everyone,,,View details,Flag as inappropriate,VSN Mobil,Visit website,
FINAL FANTASY V,"March 23, 2020",7.6M,"100,000+",1.2.5,5.0 and up,Teen,,,View details,Flag as inappropriate,"SQUARE ENIX Co.,Ltd.",Visit website,
Mike V: Skateboard Party PRO,"January 23, 2017",Varies with device,"50,000+",Varies with device,Varies with device,Everyone,Digital Purchases,$0.99 - $14.99 per item,View details,Flag as inappropriate,Maple Media LLC.,Visit website,
V for Vampire - Free,"September 20, 2014",35M,"500,000+",1.0.1,2.1 and up,Teen,,,View details,Flag as inappropriate,Cooler,dragos.cosmineanu@gmail.com,
Grand Stickman Cover V,"February 20, 2020",62M,"500,000+",1.0.8,4.1 and up,Mature 17+,,$0.99 per item,View details,Flag as inappropriate,Pinaculo Studios,pinaculostudios@gmail.com,
Cheat Codes for GTA V,"September 3, 2017",3.6M,"100,000+",1.8.0,4.0 and up,Mature 17+,,$0.99 per item,View details,Flag as inappropriate,Outworld Apps,Visit website,
DRAGON QUEST V,"February 7, 2020",63M,"10,000+",1.1.1,5.0 and up,Teen,,,View details,Flag as inappropriate,"SQUARE ENIX Co.,Ltd.",Visit website,
WeChat,"March 24, 2020",Varies with device,"100,000,000+",7.0.12,5.0 and up,Everyone,"Users Interact, Shares Location, Digital Purchases",$0.99 - $14.99 per item,View details,Flag as inappropriate,WeChat,Visit website,
"Waze - GPS, Maps, Traffic Alerts & Live Navigation","March 23, 2020",87M,"100,000,000+",4.61.0.3,4.1 and up,Everyone,"Users Interact, Shares Location",,View details,Flag as inappropriate,Waze,Visit website,
W-History Standalone,"September 6, 2019",Varies with device,"5,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,Claybikeltd,Visit website,
Words With Friends Classic,"March 31, 2020",56M,"50,000,000+",14.204,6.0 and up,Everyone,"Users Interact, Shares Info, Digital Purchases",$0.99 - $149.99 per item,View details,Flag as inappropriate,Zynga,Visit website,
Weather & Clock Widget for Android,"January 21, 2020",17M,"50,000,000+",6.1.3.3,4.1 and up,Everyone,,,View details,Flag as inappropriate,Devexpert.NET,Visit website,
W Box VMS,"January 9, 2017",9.1M,"10,000+",4.0.4,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,"Resideo Technologies, Inc.",Visit website,
WhatsApp Business,"April 1, 2020",28M,"100,000,000+",2.20.40,4.0.3 and up,Everyone,"Users Interact, Shares Location",,View details,Flag as inappropriate,WhatsApp Inc.,Visit website,
W Box VMS HD,"January 4, 2017",16M,"10,000+",4.0.3,3.0 and up,Everyone,,,View details,Flag as inappropriate,"Resideo Technologies, Inc.",Visit website,
WIFI WPS WPA TESTER,"April 10, 2020",7.2M,"50,000,000+",3.9.7,4.1 and up,Everyone,,,View details,Flag as inappropriate,Sangiorgi Srl,Visit website,
"App Lock: Locker w/ fingerprint, Parental Control","May 9, 2019",12M,"1,000,000+",3.1.0,4.1 and up,Everyone,,$0.99 - $11.99 per item,View details,Flag as inappropriate,JRummy Apps,Visit website,
Zaatar w Zeit,"August 14, 2019",30M,"100,000+",2.2.5,4.4 and up,Everyone,,,View details,Flag as inappropriate,zaatarwzeit,Visit website,
WPSApp,"March 2, 2020",4.7M,"50,000,000+",1.6.42,4.1 and up,Everyone,,,View details,Flag as inappropriate,TheMauSoft,Visit website,
Dictionary - WordWeb,"August 21, 2019",Varies with device,"5,000,000+",Varies with device,Varies with device,Teen,,,View details,Flag as inappropriate,WordWeb Software,Visit website,
Profile w/o crop for Telegram,"April 11, 2014",1.5M,"100,000+",3.1.50,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,Amalgam Apps,amalgamapps@gmail.com,
We Heart It,"February 17, 2020",36M,"10,000,000+",8.2.7,4.4 and up,Teen,Users Interact,$0.99 - $134.99 per item,View details,Flag as inappropriate,We Heart It,Visit website,
weather HD,"February 26, 2014",4.5M,"10,000+",3.1,2.1 and up,Everyone,,,View details,Flag as inappropriate,The X Lab,Visit website,
Draw Something Classic,"March 6, 2020",Varies with device,"50,000,000+",2.400.072,4.4W and up,Everyone,"Users Interact, Shares Info, Digital Purchases",$0.99 - $24.99 per item,View details,Flag as inappropriate,Zynga,Visit website,
Telegram X,"March 8, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Mature 17+,Users Interact,,View details,Flag as inappropriate,Telegram LLC,Visit website,
X-plore File Manager,"March 29, 2020",7.0M,"10,000,000+",4.19.28,4.4 and up,Everyone,,$1.30 - $20.80 per item,View details,Flag as inappropriate,Lonely Cat Games,Visit website,
Flashlight X,"October 10, 2018",4.4M,"1,000,000+",4.543,4.0 and up,Everyone,,,View details,Flag as inappropriate,Flashlight Care,flashlightcare@gmail.com,
iSwipe Phone X,"December 7, 2017",6.3M,"5,000,000+",1.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,ITTech,nguyenlan1909@gmail.com,
X Home Bar - Free,"April 10, 2019",2.4M,"1,000,000+",1.7.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,Sylvain Lagache,sylvain.lagache.apps@gmail.com,
Extreme X Ray Robot Stunts,"May 9, 2017",49M,"5,000,000+",1.5.1,4.0 and up,Everyone,,,View details,Flag as inappropriate,Omsk Games,kekvipkek@gmail.com,
The X-Files: Deep State - Hidden Object Adventure,"December 6, 2019",54M,"500,000+",2.7.0,5.0 and up,Teen,Digital Purchases,$0.99 - $349.30 per item,View details,Flag as inappropriate,Creative Mobile Games,Visit website,
Casino X - Free Online Slots,"August 2, 2019",Varies with device,"1,000,000+",2.95,4.0.3 and up,Teen,"Users Interact, Digital Purchases",$1.99 - $99.99 per item,View details,Flag as inappropriate,Item Box Apps,Visit website,
X-WOLF,"February 24, 2020",49M,"500,000+",1.4.1,4.1 and up,Everyone 10+,"Users Interact, Digital Purchases",$2.49 - $84.99 per item,View details,Flag as inappropriate,1Games,Visit website,
Light X - Icon Pack,"October 17, 2018",24M,"10,000+",1.7.1,4.1 and up,Everyone,,,View details,Flag as inappropriate,A1 Design,myrainy2014@gmail.com,
Anime X Wallpaper,"July 17, 2019",4.8M,"5,000,000+",3.36,4.1 and up,Everyone,,,View details,Flag as inappropriate,BackWings Studio,Visit website,
NEW Theme for Phone X,"May 22, 2018",3.7M,"1,000,000+",1.1.6,4.0 and up,Everyone,,,View details,Flag as inappropriate,The Best Android Themes,Visit website,
